datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-05-28 09:15:00,62.0,67.4,61.05,62.95,18000,59.095424,603300,3301.4,3300.0
2024-05-28 09:16:00,63.4,67.0,63.0,64.65,29100,57.774716,603300,3307.25,3300.0
2024-05-28 09:17:00,64.65,65.85,61.45,65.25,16800,60.355292,603300,3303.35,3300.0
2024-05-28 09:18:00,65.25,65.55,62.0,62.1,15900,59.000823,608700,3300.0,3300.0
2024-05-28 09:19:00,62.1,65.0,61.65,65.0,19500,60.107562,608700,3303.4,3300.0
2024-05-28 09:20:00,65.0,65.0,60.4,60.4,15600,58.513541,608700,3297.7,3300.0
2024-05-28 09:21:00,60.6,64.95,59.0,64.95,23400,59.214506,619200,3305.1,3300.0
2024-05-28 09:22:00,63.9,64.5,62.95,63.15,15600,58.195441,619200,3303.7,3300.0
2024-05-28 09:23:00,63.15,63.15,60.9,62.5,26400,59.434561,619200,3300.0,3300.0
2024-05-28 09:24:00,62.2,62.7,60.5,61.45,26400,60.008563,641400,3296.8,3300.0
2024-05-28 09:25:00,61.45,63.55,61.1,62.85,8400,59.816939,641400,3299.95,3300.0
2024-05-28 09:26:00,62.85,63.0,61.0,62.1,19500,59.992808,641400,3298.15,3300.0
2024-05-28 09:27:00,62.1,63.2,61.0,63.0,11100,59.956236,651300,3300.0,3300.0
2024-05-28 09:28:00,62.75,64.8,62.75,64.1,16200,59.92866,651300,3302.2,3300.0
2024-05-28 09:29:00,64.1,65.95,64.1,65.95,11400,60.385792,651300,3304.85,3300.0
2024-05-28 09:30:00,65.95,66.85,65.0,65.0,12900,60.364753,640200,3303.1,3300.0
2024-05-28 09:31:00,64.05,65.0,63.35,63.35,5400,58.32026,640200,3304.0,3300.0
2024-05-28 09:32:00,63.35,63.35,57.75,57.95,19800,57.42638,640200,3295.3,3300.0
2024-05-28 09:33:00,57.95,61.65,57.9,60.65,26400,59.123022,641400,3297.2,3300.0
2024-05-28 09:34:00,60.65,60.65,57.5,57.5,21300,58.048816,641400,3293.15,3300.0
2024-05-28 09:35:00,57.5,58.6,56.3,56.3,12900,58.847756,641400,3289.05,3300.0
2024-05-28 09:36:00,56.3,57.95,52.2,57.95,25500,59.606301,646800,3290.85,3300.0
2024-05-28 09:37:00,57.95,59.0,57.95,58.25,13200,60.31194,646800,3290.0,3300.0
2024-05-28 09:38:00,59.0,59.0,59.0,59.0,18300,59.61426,646800,3293.0,3300.0
2024-05-28 09:39:00,61.0,61.0,61.0,61.0,6900,60.254483,646800,3295.7,3300.0
2024-05-28 09:40:00,60.75,60.75,58.35,59.25,20100,59.900164,657900,3292.95,3300.0
2024-05-28 09:41:00,59.25,59.65,55.2,56.8,21900,60.636769,657900,3286.4,3300.0
2024-05-28 09:42:00,56.75,57.0,52.95,55.6,26400,60.546114,666600,3284.1,3300.0
2024-05-28 09:43:00,55.25,60.95,54.7,60.95,13800,61.096527,666600,3293.95,3300.0
